carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,lda_p_mushroom,rf_p_mushroom,mahal_dist_to_axe_centroid,mahal_dist_to_mushroom_centroid,nearest_centroid
F618,53,Lomas 2021 ImageJ,0.0,1.0,,,,,,0.004,38.9,8.6,12.7,0.345,2.346,0.426,0.621,0.14693496711924292,0.9066666666666666,3.330717653250283,1.2302130028119684,mushroom
F609,53,Lomas 2021 ImageJ,1.0,1.0,,,,,,0.004,48.7,11.7,13.3,0.223,1.963,0.509,0.467,0.9988115442206057,0.53,6.822890001679918,2.065922276404392,mushroom
F619,53,Lomas 2021 ImageJ,1.0,0.0,,,,,,0.005,42.7,11.3,13.5,0.348,1.749,0.572,0.554,0.994969431434953,0.8666666666666667,5.983103526763576,1.169332078051022,mushroom
F602,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.005,39.900000000000006,9.0,13.5,0.355,2.338,0.428,0.586,0.11592483066809346,0.7933333333333333,3.1875770881737577,1.184681614792351,mushroom
F615,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.005,40.6,9.8,13.5,0.409,2.346,0.426,0.649,0.015754946623447605,0.04666666666666667,2.2255313304050195,1.0963650680490171,mushroom
F606,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.007,40.5,9.4,13.900000000000002,0.529,2.165,0.462,0.775,0.0010005950182074032,0.0,1.099780383968289,1.53920663537008,axe
F600,53,Lomas 2021 ImageJ,0.0,1.0,dagger,,,,,0.004,37.9,5.7,14.499999999999998,0.36,3.481,0.287,0.691,0.000424887637221411,0.23,1.7739602931154295,3.411664910200658,axe
F631,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.007,43.8,9.8,15.4,0.442,2.429,0.412,0.696,0.002512426480751458,0.0,1.447499710450547,1.1716020118486778,mushroom
F596,53,Lomas 2021 ImageJ,1.0,1.0,,,,,,0.01,59.4,15.0,16.0,0.348,1.4,0.714,0.653,0.9999972590164293,0.9833333333333333,9.312597355919253,1.056867790301406,mushroom
F613,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.009,54.0,13.900000000000002,17.2,0.379,1.907,0.525,0.622,0.8519301075478434,0.63,4.516154008726174,1.0972531678591513,mushroom
F601,53,Lomas 2021 ImageJ,1.0,1.0,,,,,,0.012,64.3,16.0,18.0,0.357,1.366,0.732,0.666,0.9999985602238461,0.98,9.645384840959604,1.0423226524200628,mushroom
F610,53,Lomas 2021 ImageJ,0.0,0.0,,,,,,0.01,55.7,11.7,19.9,0.391,2.581,0.387,0.658,0.005506826616214404,0.03333333333333333,1.967989465792637,1.2420190794794823,mushroom
F611,53,Lomas 2021 ImageJ,0.0,1.0,,,,,,0.009,79.4,10.0,30.1,0.183,5.372,0.186,0.5,0.07050451002493416,0.29333333333333333,6.411018104284874,10.974071769507164,axe
s4_001,4,"Extracted (this study, from Stone4.tiff)",,,,6280.0,405.76450198781714,105.0,128.0,,,,,0.4793154266894882,1.4856636299060495,0.4786743275215031,0.740304137687139,0.003274353777731222,0.72,2.8971379822623073,3.910059817544481,axe
s4_002,4,"Extracted (this study, from Stone4.tiff)",,,,19787.0,747.2447327281724,166.0,259.0,,,,,0.4453116868237563,1.8567105558110413,0.3809422810452361,0.719135017263311,8.995452658411285e-05,0.5,3.400070236274347,3.824547956739126,axe
s4_003,4,"Extracted (this study, from Stone4.tiff)",,,,6704.0,435.56349186104046,126.0,120.0,,,,,0.4440592570404076,1.3394669433125677,0.520794580312284,0.7053872053872053,0.09263540745026312,0.73,3.626479652496646,3.852436415844105,axe
s4_004,4,"Extracted (this study, from Stone4.tiff)",,,,13127.0,613.1025971044414,148.0,202.0,,,,,0.4388428609145003,1.8656616146574911,0.378352239991629,0.7047296934557363,0.00010033446673889377,0.4633333333333333,3.450306070205055,3.8226306625827853,axe
s4_005,4,"Extracted (this study, from Stone4.tiff)",,,,8824.0,502.43354954612926,140.0,151.0,,,,,0.4392564029317069,1.2621451642645438,0.535383437792525,0.6877094536669005,0.19294357799140233,0.77,3.903829979270816,3.978008098100929,axe
s4_006,4,"Extracted (this study, from Stone4.tiff)",,,,26221.0,925.5117600329312,188.0,302.0,,,,,0.3846761240977007,2.423347175427284,0.2981747973239075,0.7013775578440551,2.5615871776657856e-05,0.2,3.5911953613452035,2.7696450856663124,mushroom
s4_007,4,"Extracted (this study, from Stone4.tiff)",,,,15653.0,672.2741699796952,126.0,256.0,,,,,0.4352257665962289,2.752331383110805,0.2716035087079348,0.7775570016392628,1.8139357020035377e-06,0.10333333333333333,3.2243078667190255,2.1613155447673207,mushroom
s4_008,4,"Extracted (this study, from Stone4.tiff)",,,,10799.0,542.333044482741,155.0,138.0,,,,,0.4613826630164132,1.0093616259893865,0.7168959097498436,0.7373344257817834,0.9996011047635314,0.93,7.228729763701339,2.2739211047192978,mushroom
s4_009,4,"Extracted (this study, from Stone4.tiff)",,,,8108.0,447.60512242138304,122.0,141.0,,,,,0.5085498236951422,1.4857451355641718,0.5060407630547797,0.7531116477800484,0.005530481092259301,0.6633333333333333,2.5424667837687527,3.4925409867963646,axe
s4_010,4,"Extracted (this study, from Stone4.tiff)",,,,8070.0,486.1492782986673,138.0,131.0,,,,,0.4290857660265195,1.0365194864515714,0.6456133125991028,0.6800370776101795,0.9925594672865841,0.9,5.91901792326322,3.2387665388194247,mushroom
s4_011,4,"Extracted (this study, from Stone4.tiff)",,,,7562.0,444.87720036002526,117.0,140.0,,,,,0.4801381767614552,1.5171426217138753,0.4958236670912642,0.7405013709361535,0.00934874449539282,0.71,2.7669263866966833,3.4630669821681286,axe
