carving_id,stone,source,multiclass_nearest
F603.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),human
F604.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),human
F605.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F606.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),axe
F607.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F608.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F609-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F610.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F611.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),halberd
F612.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F613.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F614-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F615.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F616.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F617.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F618.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F619.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F620.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F621.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F622.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F623 - 540wide.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F624.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F625.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F626.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F627-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F628.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F629.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F630.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F631.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F632-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),human
F634.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F636.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F637.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F638.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F639.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),human
F640.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F641.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),human
F642.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F643.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F644.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F645.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F646.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F647.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F649.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
f650.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F651.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F652.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F653.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F654.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F655.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F656.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F657.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),human
F658.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F659.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F660.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F661.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F662.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F663.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F664.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F665.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
f666-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F667-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
f668-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F669-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F670.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),axe
F671.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F672.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F673-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F674.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F675.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F676.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F677.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F678.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F679.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F680.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F681.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F682.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F683.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F684-adjusted.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F685.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F686.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F687.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F688.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F689.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F690.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F691.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F692.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F693.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F694.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F695.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F697.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),axe
F698.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F699.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F700.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F701.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F702.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F703.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F704.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F705.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
f706.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),random
F707.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F719.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F720.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F721-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
F722.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),human
F723-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
F725.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
RiCruin1.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
RiCruin2.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
RiCruin3.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
RiCruin4.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),human
RiCruin5.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),tree
RiCruin6.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),mushroom
