id,stone,assigned_class,d_A. muscaria,d_P. coronilla,d_P. subviscida,d_Stropharia aeru,d_Bronze axe (avg
F595,S53,Stropharia aeruginosa,3.870849217538997,1.6713852276271637,1.2567966908543846,1.2032436534842248,3.164876755970274
F596,S53,Stropharia aeruginosa,2.8702191667174084,1.0415803389437466,0.5360940667367408,0.4987364144300112,2.732199756634775
F597,S53,Stropharia aeruginosa,3.1711716074010847,1.5289240667376658,1.0017143395850998,0.9566012578249229,3.262811265505949
F600,S53,A. muscaria,1.9010941509302155,3.307132159286834,3.6782246537559042,3.7314925655318394,2.3220609334031908
F601,S53,Stropharia aeruginosa,2.732246486568201,0.9153330480180468,0.42736309076154305,0.40491550101903406,2.659060048976208
F602,S53,A. muscaria,1.2625359622172736,1.7389712042212504,2.090239123323505,2.146679250740292,1.786056599319429
F603,S53,P. coronilla,3.5372328392921055,1.2560894607352882,1.6151886978928687,1.6377637417899047,1.4022805864978471
F604,S53,Bronze axe (avg Needham),4.94009324409626,2.872098979639101,3.1971891165454713,3.211436534362032,2.2239286259113413
F605,S53,P. coronilla,3.363316962565398,0.7924902593482783,0.9707764726482001,0.9795737337191025,1.8680913086152904
F606,S53,Bronze axe (avg Needham),3.2220704210589624,1.4461762264053706,1.9189494417966593,1.957168468691484,0.7507054144618718
F607,S53,Stropharia aeruginosa,3.6687746751245887,1.2683389365149262,0.9772150120339976,0.9354240484352893,2.6777988152235945
F608,S53,Stropharia aeruginosa,4.562671237887535,2.039335804828915,2.051300661232818,2.0329319657257594,2.67506767241304
F609,S53,A. muscaria,0.9037198948525196,2.44344572784141,2.484522065228075,2.5216446204197327,3.1867869786428775
F610,S53,Bronze axe (avg Needham),1.6974058658289888,1.7743601006475176,2.213308141374427,2.2704781397150056,1.199213563029074
F611,S53,A. muscaria,4.56491168482587,6.660729051015226,6.958068761785911,7.006522128524455,5.665763680327632
F612,S53,Stropharia aeruginosa,4.648349403818715,2.1211749206284436,2.0970802691871406,2.0748146619622543,2.8163270506460125
F613,S53,P. coronilla,1.8756680023617185,0.8301610397000708,1.1756663024033371,1.2329767416797615,1.7049553776737316
F614,S53,Stropharia aeruginosa,4.018090098384914,1.9360351215561753,1.5084505217667865,1.455147383750239,3.392171074040805
F615,S53,Bronze axe (avg Needham),1.736714219473107,1.5394210190062032,1.9829763168401553,2.040606225261404,1.1928590019602545
F616,S53,Stropharia aeruginosa,5.098396519735493,2.6143609220476813,2.5622188832318713,2.5362010430928814,3.2164499128671293
F617,S53,P. coronilla,3.664060285936548,1.1265606688457699,1.2520070419426423,1.2512199854714483,1.9824142322116247
F618,S53,A. muscaria,1.0231920051229006,1.7112325453186636,1.9930834507279191,2.046559901813524,1.925697290006757
F619,S53,P. coronilla,1.7898740099374426,0.945351038095583,1.1403283984971175,1.192185893274099,2.0534945301629906
F620,S53,Stropharia aeruginosa,5.640440302868717,3.1579749223483153,3.1026784369368863,3.0751934011401545,3.6729288950228125
F621,S53,P. coronilla,3.3492740224646282,0.7749343147871398,0.9041083681003096,0.909203320116747,1.9278938293900791
F622,S53,Stropharia aeruginosa,4.622876877133655,2.145393440211279,1.9951383687301067,1.9611672872253576,3.0856100446755184
F624,S53,Stropharia aeruginosa,3.9046256282059555,1.3520887627846172,1.253328704472145,1.2280386508939545,2.4929601612000907
F625,S53,P. coronilla,2.5390528588968646,0.7407556937091652,1.268130691347737,1.3195172492864153,1.1050901203733319
F626,S53,P. coronilla,1.7786955128996358,1.0016746002358585,1.1365887450476917,1.1852197915705724,2.177838169945895
