carving_id,mahalanobis_dist,chi2_p,in_95_axe_ellipsoid
627,12.553934509136345,0.0,False
623,16.43856369151348,0.0,False
625,3.6570073712343687,0.009587067823134232,False
629,7.155664986652079,2.023964329467276e-10,False
631,2.064103014333958,0.3718947635445755,True
632,2.1452537152743605,0.3306105750939319,True
620,15.666982555126554,0.0,False
624,14.144998202888916,0.0,False
605,8.282720190512986,4.474198789239381e-14,False
612,12.686658665569057,0.0,False
638,13.903803309240399,0.0,False
622,16.407585665094285,0.0,False
619,8.314035198086554,3.47499806707674e-14,False
602,4.083701361510721,0.0022335047686457,False
604,3.726736794508945,0.007659328625862827,False
613,6.0680540588915015,1.9606518431025677e-07,False
615,3.0001130976499173,0.06108252145961379,True
621,9.166166939906423,0.0,False
634,11.082562434578051,0.0,False
595,22.594808581408035,0.0,False
628,14.155800753766965,0.0,False
616,13.177082827383332,0.0,False
603,4.756300537739793,0.00015062937681342703,False
608,11.314848947020913,0.0,False
610,2.3192013183263036,0.25059985941125196,True
617,8.950135591228698,1.1102230246251565e-16,False
636,9.697545176355044,0.0,False
597,26.645606249920014,0.0,False
609,8.890425317184468,3.3306690738754696e-16,False
607,16.94010062017562,0.0,False
596,16.002612827669683,0.0,False
614,23.281191102491146,0.0,False
626,8.822992506603148,4.440892098500626e-16,False
601,16.836467365258823,0.0,False
720,21.48895147258222,0.0,False
637,8.35511799098043,2.4868995751603507e-14,False
600,2.911082488405113,0.07566697290086777,True
606,2.0454258338078573,0.3817066129905282,True
611,14.713073657214,0.0,False
618,4.131279046357617,0.0018754682849475568,False
630,20.656634512735266,0.0,False
