mushroom_id,source,area_px,perim_px,width_px,height_px,circularity,aspect_ratio,roundness,solidity
bwincrกvel-amanita-muscaria-na-floresta-do-outono-ferramenta-tขxica-de-com-fundo-desfocado-banheiras-venenosas-comuns-conhecidas-162021019.tif,Bevan All data (ImageJ),63615.0,1341.11688,364.0,400.0,0.44446354,1.18309927,0.84523761,0.6989776
bwLILamanita.tif,Bevan All data (ImageJ),44004.0,1413.31789,328.0,400.0,0.27683583,1.855298,0.53899697,0.53345295
Psilocybe Coronilla.tif,Bevan All data (ImageJ),51046.0,1274.50671,298.0,400.0,0.39490018,1.65587772,0.60390933,0.66935479
Psilocybe Subviscida.tif,Bevan All data (ImageJ),65413.0,1493.38391,411.0,395.0,0.36857935,1.44858525,0.69032872,0.66674141
Stropharia Aeruginosa.tif,Bevan All data (ImageJ),51145.0,1320.67323,319.0,398.0,0.36848711,1.42332659,0.70257944,0.66473876
Amanita Muscaria Transected,Curated pre-segmented silhouettes,45676.0,1643.071247280615,291.0,400.0,0.2126107094404132,2.6013918543189214,0.244331680950048,0.5469262638599516
Amanita Muscaria,Curated pre-segmented silhouettes,43699.0,1292.891485709898,278.0,397.0,0.3285165186819376,2.107764989494031,0.2665314803033532,0.602437376787019
Psilocybe Subviscida,Curated pre-segmented silhouettes,65413.0,1495.241774135342,411.0,395.0,0.3676639829518993,1.4485907246865748,0.4300984563232465,0.6683593710087768
bw8695755407_944802f898,Curated pre-segmented silhouettes,65337.0,1510.5382386916235,397.0,400.0,0.3598368250154011,1.2715414863207222,0.4919583158743124,0.6509873861666301
bw8695755407_944802f898_,Curated pre-segmented silhouettes,77434.0,1287.2661607529817,369.0,400.0,0.587225427254936,1.17564839800661,0.6866802252802454,0.8196762959277647
bw8695755407_944802f898_1,Curated pre-segmented silhouettes,118427.0,1847.9280656363576,641.0,400.0,0.4358032543796274,1.7316662147060071,0.4339321478546244,0.7514355873376438
bwFly-agaric-Amanita-muscaria-var-flavivolvata-FUN0332,Curated pre-segmented silhouettes,73783.0,1569.508801440101,397.0,400.0,0.3763905080118104,1.3415142095843309,0.4791258000754108,0.6834290477954799
bwLILamanita,Curated pre-segmented silhouettes,44004.0,1412.8326112068523,328.0,400.0,0.2770260428533398,1.8553114285017225,0.2490451176973505,0.5345610923491825
bwamanita-muscaria-4703173_1280,Curated pre-segmented silhouettes,89619.0,1473.9280656363574,446.0,400.0,0.5183909136387662,1.1117855537346588,0.7032844460881452,0.7705118174549269
bwamanita-muscaria10,Curated pre-segmented silhouettes,61741.0,1406.6316010800756,368.0,400.0,0.3921234215048989,1.2721177371372685,0.4956554874570792,0.6569868902698561
bwfly-agaric,Curated pre-segmented silhouettes,57734.0,1577.5777772109132,430.0,400.0,0.2915143594365335,1.2506100040531645,0.4082683747464543,0.5522723576846919
bwfly-agaric_,Curated pre-segmented silhouettes,70255.0,1228.5067093990478,297.0,400.0,0.5849679024891453,1.4644771421361584,0.577388208507399,0.8346401501651342
bwhttp___fm-digital-assets.fieldmuseum.org_1487_338_NAMA2010-001_,Curated pre-segmented silhouettes,97794.0,2086.2438661763954,635.0,400.0,0.282352689276601,1.490572481652127,0.3777203570114805,0.6344615504388953
bwhttp___pictures.snsb.info_BSMwohlfcoll_web_M-0050_M-0050674_20020625_160814,Curated pre-segmented silhouettes,40528.0,1233.7270555095806,229.0,400.0,0.3346007104256901,2.774543950021412,0.2137482722100764,0.6544268436435272
bwhttp___pictures.snsb.info_BSMwohlfcoll_web_M-0050_M-0050676_20020625_161348,Curated pre-segmented silhouettes,35209.0,1264.5554826343268,254.0,400.0,0.2766863770998366,2.605944499989314,0.2079799043095697,0.5570779868044239
bwhttp___pictures.snsb,Curated pre-segmented silhouettes,45941.0,1123.0163773909258,181.0,400.0,0.457760303815406,3.0638092964873658,0.2669580523425177,0.7818680009530617
bwhttp___sweetgum.nybg.org_images3_126_885_f-196,Curated pre-segmented silhouettes,47053.0,1109.9625535217635,209.0,400.0,0.4799329057982713,2.514441407898698,0.3040802016801046,0.7870895435004432
bwhttps___arpoprodmediasto.blob.core.windows.net_mediacontainer_ce1d1a52-b142-4db7-834b-ac48011b7728,Curated pre-segmented silhouettes,53998.0,1103.5361466505706,232.0,400.0,0.5572042396480634,1.9144149116205045,0.4386138637840556,0.8337785463922301
bwhttps___inaturalist-open-data.s3.amazonaws.com_photos_109031348_original.jpg_1609624480,Curated pre-segmented silhouettes,120833.0,1731.5676759431467,597.0,400.0,0.5064265687914307,1.7214655872099525,0.4909753203359568,0.814957948053875
bwhttps___inaturalist-open-data.s3.amazonaws.com_photos_109269036_original.jpg_1609824868,Curated pre-segmented silhouettes,39417.0,1235.068109219035,259.0,400.0,0.3247219269972832,2.285439355747955,0.2383064922544613,0.5973358792507729
bwimages (2),Curated pre-segmented silhouettes,48299.0,1438.3128419472075,361.0,400.0,0.2933872841658322,1.5523319887270697,0.3369330969982917,0.5703977514289763
bwimages (2)_,Curated pre-segmented silhouettes,59900.0,1244.129075763134,273.0,400.0,0.4863017212657954,2.1002952400254298,0.3799565851522041,0.7927789615786757
