Circularity,Aspect Ratio,Roundness,Solidity
0.76756859,1.64491417,0.60793446,0.98978953
0.48454348,3.23532898,0.30908758,0.8159749
0.52769179,2.96043265,0.33778846,0.83431209
0.44425895,2.656136,0.37648675,0.7159241
0.43575941,2.74902936,0.36376476,0.71698203
0.46659004,2.90975544,0.34367149,0.7512038
0.46599462,2.73250085,0.36596512,0.7441376
0.49901824,2.86167438,0.34944577,0.79039279
0.53370455,2.40620555,0.41559209,0.79463865
0.40765823,5.03386834,0.19865438,0.86374611
0.54035829,3.24917631,0.30777031,0.92356095
0.68040704,1.98664616,0.5033609,0.9202352
0.53322783,3.11302009,0.32123146,0.89751033
0.53816995,2.97639469,0.33597695,0.89801761
0.53220966,2.36822865,0.42225653,0.79656294
0.5869415,1.86779229,0.53539144,0.84292205
0.55859916,2.08568608,0.47945854,0.80832131
0.63909502,2.08090719,0.48055963,0.8848828
0.47993574,2.71033119,0.3689586,0.78808595
0.61951096,2.15707522,0.46359069,0.86770135
0.78581006,1.3064085,0.76545736,0.97934985
0.52052323,2.69078186,0.37163919,0.82194078
0.58768184,1.80853678,0.55293318,0.86171096
0.49901819,2.29487878,0.43575286,0.79355597
0.5191448,2.5462386,0.39273617,0.80903212
0.4890885,2.84664187,0.35129112,0.81253246
0.72196765,2.01731853,0.49570754,0.98159544
0.53078788,2.51095642,0.39825462,0.80711653
0.6568854,2.19320388,0.45595396,0.92099073
0.65443315,2.17818411,0.45909802,0.95226138
0.64068112,1.9657619,0.50870861,0.88145746
0.56886808,2.18357929,0.45796368,0.87620129
0.51947322,2.77006394,0.3610025,0.82934254
0.62887464,2.1095769,0.4740287,0.94577591
0.569051,2.48855968,0.40183887,0.8516276
0.44210147,2.49590284,0.40065662,0.74973301
0.50290898,2.48262982,0.40279867,0.79109863
0.50866469,2.96254471,0.33754765,0.83170565
0.4987091,2.10261888,0.47559737,0.74272056
0.6841639,2.01821527,0.49548728,0.96639575
0.55217513,2.40956456,0.41501274,0.83571564
0.53056851,3.06992288,0.32574108,0.87773995
0.63204486,2.3095358,0.43298744,0.94250218
0.49604334,2.83152338,0.35316678,0.80852544
0.49996917,2.69683814,0.37080461,0.84262582
0.46742897,2.79875669,0.35730151,0.82097915
0.47543168,2.54495893,0.39293365,0.77852338
0.5551271,2.07453886,0.48203484,0.83312066
0.53152641,2.28893462,0.43688447,0.82587933
0.56242183,2.18924325,0.45677884,0.83247464
0.56840901,2.13181541,0.46908377,0.82881737
0.50998013,2.73059914,0.36621999,0.81443239
0.78553331,1.4351044,0.69681342,0.98916631
0.5409667,2.31042707,0.43282041,0.86172411
0.56665265,2.07568469,0.48176874,0.82895207
0.52096706,2.42921116,0.41165627,0.81525603
0.55675241,2.3015224,0.43449501,0.81286621
0.62351257,1.7747852,0.56344847,0.87957477
0.6232511,1.90240158,0.52565137,0.91627365
0.56750527,1.98322565,0.50422906,0.83327105
0.5309919,2.20392181,0.4537366,0.80235894
0.60853858,2.26972062,0.44058286,0.8824474
0.43153796,3.2431466,0.30834252,0.74308778
0.44303573,3.31121423,0.30200402,0.75906606
0.36758229,3.98377381,0.25101827,0.68618449
0.39022131,4.63075342,0.21594758,0.78978844
0.41383257,4.23504719,0.23612488,0.77468295
0.51487333,2.79269105,0.35807756,0.85560936
0.74507231,1.89851295,0.52672804,0.98954295
0.54225596,2.72441077,0.36705184,0.86003547
0.5483856,2.33686643,0.42792347,0.86157165
0.61863853,2.26841696,0.44083606,0.90119321
0.47541786,3.40773946,0.29344966,0.84980101
0.59633076,2.09354222,0.47765934,0.86586199
0.70828274,1.77799076,0.56243262,0.95922201
0.61908931,2.1336658,0.46867696,0.87750051
0.60358334,1.84654546,0.54155179,0.88016587
0.56740963,2.20359488,0.45380392,0.87265988
0.64147818,2.11307045,0.47324499,0.89510705
0.50025365,2.53573084,0.39436362,0.83220582
0.48993388,2.28466945,0.43770008,0.79599773
0.53198888,2.33153241,0.42890247,0.81249527
0.48062398,3.19839623,0.3126567,0.81091214
0.4764055,2.32380127,0.4303294,0.74855989
0.40709677,2.96649933,0.33709767,0.68203383
0.42111622,2.43298672,0.41101745,0.71997325
0.39329889,4.53679792,0.22041978,0.7712049
0.49580078,3.13720946,0.31875462,0.79358891
0.48091358,3.16538037,0.3159178,0.81282692
0.51759876,2.51624034,0.39741832,0.80059305
0.4538925,2.7673805,0.36135255,0.78037156
0.47316331,2.45920904,0.40663481,0.75217862
0.45416284,3.18486847,0.31398471,0.82171134
0.42767975,2.86856032,0.34860693,0.74579131
0.46854903,2.87449685,0.34788697,0.77218133
0.46246366,3.26876172,0.30592625,0.77733718
0.49994996,2.7022616,0.3700604,0.80818942
0.50163348,2.54959747,0.39221878,0.80161086
0.54431648,2.20976487,0.45253684,0.84982425
0.48740649,2.29968942,0.43484133,0.75771251
0.43702973,2.63436253,0.37959848,0.74851937
0.46016792,3.08702998,0.32393595,0.76697515
0.47662937,2.92129816,0.34231357,0.78340922
0.48042127,2.30011502,0.43476087,0.79764708
