id,imagej_0,imagej_1,imagej_2,imagej_3,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,efd_0,efd_1,efd_2,efd_3,efd_4,efd_5,efd_6,efd_7,efd_8,efd_9,efd_10,efd_11,efd_12,efd_13,efd_14,efd_15,efd_16,efd_17,efd_18,efd_19,efd_20,efd_21,efd_22,efd_23,efd_24,efd_25,efd_26,efd_27,efd_28,efd_29,efd_30,efd_31,skel_0,skel_1,skel_2,skel_3,skel_4,skel_5,stone
F616,0.5638623416548291,1.3213943934537085,0.627919089124949,0.8229435069101427,3.10700496793167,7.3458628449326495,9.738023729011237,10.767988510578121,21.022041773990274,14.4480936174028,-22.17989202461545,0.9990597373148384,2.7453311636763655,-0.04335482990862794,-0.2744975283786135,0.7368414085141889,0.36194710798321694,-0.7417832112860514,0.8285916791542797,-0.16722497831718755,0.4651423987205474,0.19957188476374388,-0.1675506877169896,-0.10171885187509465,0.09477830444897595,-0.22490218150691665,0.0037239956454469102,-0.11707120051984639,0.003848089177352863,0.0722951632315195,0.024105595143223225,-0.06511889943165014,-0.011098354548120266,-0.0069434934204543166,-0.02680104512347678,-0.021359584170369424,-0.051934897593647146,0.008720483758996185,0.01712395272248537,0.010892630438734112,-0.05829953276429729,0.017647734696827,0.030788040118826476,683.0,67.62836640257339,0.38439617211026617,110.9414259868693,1.0,0.09663250366032211,53
F602,0.32570478571191414,2.342542167117866,0.22942889797057156,0.5757918907867007,2.7936953723167277,5.9075363361425755,8.454453768368461,8.947518628571498,17.651825923689007,11.90725632872847,-18.557899659676682,0.99475910695008,0.6478912811170155,-0.1022463649225702,-1.1909392246525332,0.5390928889767481,0.6173227678439067,-0.13792787832834466,-0.055491083127511866,0.30102738389637823,0.31849621154967156,-0.05852461418411267,0.16747494076001038,0.0548075890629956,0.03840970271190244,-0.02410385803454575,0.0973802686326912,-0.044581263211746144,-0.0559924097308953,-0.0009605189808586217,-0.0056063981218939865,-0.08404056425593487,0.028632191370781098,-0.01192412817614604,-0.028088259866002295,-0.06573112649328028,0.05384101651535442,-0.021479089462577265,-0.026911163833496336,-0.009275704210682547,0.03355449665508242,-0.007465229681630108,-0.01132990358479042,576.0,36.243552210601294,0.3041922022137979,60.207972893961475,16.1245154965971,0.1423611111111111,53
F623 - 540wide,0.5553174687231175,1.2165811576627803,0.6645165980227367,0.7989108751496147,3.1040741604637825,7.6344674826084455,9.61601970698996,12.885859859350926,-24.720309016641792,-16.808292615662957,-24.152108927655597,-0.6430024311668228,-0.6398148274754659,-0.7658641351529365,-0.34141945221152376,0.23519721401749388,0.08277884132041076,0.20254970975831083,0.038800322345278165,-0.030650169018677478,-0.08545239431276927,-0.020301578243575785,-0.124225575056954,-0.005980764136016255,0.03296678588661825,-0.004815308816099016,0.013352113188718184,-0.0037180371127531406,-0.022157498018876332,-0.004583327860853755,-0.01630768798809752,-0.0023815261005179287,0.031001493226971464,0.001857159026636899,0.03852933540614692,0.018778276947300915,-0.010894678249469256,0.02513983058778312,2.2932708248028337e-06,-0.004154522051602922,0.0034955081434908373,-0.000994421307251796,0.0055532307251484544,1629.0,61.77210554561665,0.595099311892463,136.01470508735443,1.0,0.2786985880908533,53
F603,0.5077502636053198,1.8587315204783796,0.4073098460942795,0.7562255035464353,3.005271991290999,6.5281550121535465,9.336170745128939,10.256062391677428,20.062209112521824,13.525067327179915,-20.72489812356183,-0.8514219626116848,2.7466287966384337,0.5244813071811681,1.337780593594818,0.5409397466868575,1.2566180013577868,-0.6778547084932062,-0.06668639022677295,0.06493030996826284,0.04728960174095283,-0.32295068858538556,0.18005960485149308,-0.2515320279450394,-0.10470312509630554,0.16042972146827547,0.004802078653196647,-0.10344284334794754,-0.06412733503548337,0.09079293817709044,-0.1408787630269494,0.01800086179883127,-0.10481975733054692,-0.034302749452120425,-0.003160394928557015,0.07198579563683763,-0.03863113716727391,-0.030747567727086048,0.05107097320376873,0.051195170733807686,0.027839402376902342,-0.01583651366777434,0.01189770934535727,591.0,58.59567764188995,0.2692675029091791,87.66413177577246,1.0,0.0,53
F617,0.48178696525257586,1.5695512355674548,0.4680996204339715,0.7439586093759859,3.028125254093522,6.8044984952800505,9.290487019489104,10.06390585707553,19.746773651585496,13.467087670562366,-20.53546549611197,-0.33846720797913443,3.7541880385008772,0.9409781873788623,0.0582290962568818,0.8096077838037793,0.5909194882834127,-0.7844849038559504,0.13479946512064347,-0.15195092998510162,-0.0005781362961026289,-0.0359388838897827,0.26980729817232707,-0.2813979811379935,0.08793281305460485,0.10599535255229031,-0.19485038398606785,-0.07713677651334046,-0.071955956855295,-0.06041751347305316,-0.06397399444738117,0.07142673195547478,-0.0909947275947887,0.005776244552592079,0.041466698495457636,0.035927953390284297,-0.043323544367466986,0.06201941614325423,0.014314388204763622,0.048133600373469955,0.010104935334951467,0.025445827398065786,-0.013596511766385917,675.0,50.23472660012068,0.43150161862175523,90.97252332435328,1.0,0.14962962962962964,53
F629,0.4548546957969965,1.6757031374312144,0.40488091735761217,0.728805321053978,2.980776745003047,6.608555310028847,9.020137448976842,9.792384451523757,19.261975101196708,13.181763794575268,-19.497114668589745,-0.9890305386418549,0.5792135550577652,0.14771118317108647,0.4872726805950425,-0.29666216537127665,0.40084618077941725,-0.13157886170486238,-0.16608453577708568,-0.0832590213604639,0.022680446226421062,-0.10483790256295301,-0.09089987140830827,-0.0011914383995903445,-0.038754029176672214,-0.016794015510792,-0.0042603021579678884,0.05732260863626918,0.024199590721021787,-0.0038501671031624576,0.01894369079398637,0.01195557739032139,0.0275929125184511,-0.0024234853136170394,0.026137908771904198,-0.027437426960919616,0.01904888498692289,-0.0014211533669422469,0.00545389639604945,-0.005042155408495605,-0.010638663480158853,-0.004543738086788424,-0.0050813887826905895,536.0,54.05210407410342,0.33859927788405286,89.64373932405988,17.0,0.13432835820895522,53
F601,0.3307913351358378,1.360130462828323,0.4451160209467927,0.6587287608177452,2.966546421930048,6.9839770721052075,9.02234390063874,9.96437340108198,19.473014232142496,13.45970748498146,20.04161283041605,0.8035910529699009,1.3039241332856706,0.5951818374133455,-0.2940050931029684,-0.07861139905555319,0.6055991828758511,-0.33648163558666444,0.11023774349923995,-0.04543125209351756,-0.0967373428539939,-0.20831703250146266,-0.1380204247908746,0.055924990736539296,-0.001713776658766438,0.0997323336980606,0.005131614258894453,-0.020852367282189137,-0.1360493435040283,0.030255873760295232,0.04680085135840343,-0.018515132704976785,0.03790876017769035,-0.005636097706928785,0.010073465254533205,0.010080376364218832,0.013494850175417848,-0.0011089681331756698,-0.002655455742674679,-0.013889564668792067,0.021389963253885404,-0.012686817092191044,-0.023290776368235067,813.0,39.035614981626345,0.39595894413732163,72.13875518748573,1.0,0.13407134071340712,53
F615,0.3750391281706581,2.440347801627022,0.2615168567769207,0.6453916243210093,2.8558374819643495,6.006166924591432,8.851200967747824,9.505292467042162,18.686942644280954,12.512470744798982,-19.587655534065206,-0.9814075857659781,0.012194802747958344,-0.19193527711443345,0.7538357213258039,-0.5263407336121377,0.1273315020825079,-0.0803599468749733,0.002867783586417418,-0.22343778040007348,-0.10209939498866148,0.015130879800842205,-0.05965089588059459,-0.011332028433501819,-0.06912057629312067,0.04037228112171535,0.0010156513651939558,-0.007838213963640636,0.011582285057562843,0.00430654339600803,0.022517145215982772,-0.05818639987046097,0.015022661365336297,0.003074124713911647,0.008192542585764788,-0.05457854196661609,-0.007536138064447048,0.0014975170359475469,-0.011670878135475293,-0.0029212722267189274,-0.029363541601757703,0.009751685990163902,-0.013428231239864852,720.0,38.59438979266837,0.40506269225957364,71.19691004531025,1.0,0.10833333333333334,53
F614,0.37844252679019647,1.124844375431956,0.6178525302488986,0.6391356988029447,3.043698849185924,7.950247294949996,9.571044901417038,10.16107264316225,20.034387722347443,14.766550539673869,-20.76876880228928,-0.5412543073166002,2.090974357187718,0.8408589506042183,-0.4272545346681423,0.24176165165816096,0.23926708749384917,-0.783298932553724,-0.0769020107445302,-0.23361404236386973,0.012676856390261738,-0.07301191715802104,0.1820562415058033,-0.12535171277947654,-0.059270244589910134,0.08025544648973823,-0.1004945163397006,-0.04610010730977478,-0.039518932920861255,-0.0042103366184209805,-0.09867693922021202,0.03527963150967692,-0.028317028345515836,-0.029900499100994442,0.0171971182047177,0.04777012389641047,0.0045667639560257305,0.021196925557743298,0.046448729084652855,-0.0008051082130906046,0.03116167670940359,0.021357875193137255,-0.01017195158411595,750.0,46.62503122864252,0.5849005522209769,97.8008179924892,1.0,0.34933333333333333,53
F600,0.3212384076826105,3.5827250766079084,0.21530216318587414,0.683143159628279,2.806217394691959,5.748046842605414,9.350288532690398,9.742304577078377,19.29623479353319,12.658767686277551,-20.019417488129086,-0.9263407497949814,1.0509122927432961,0.37668662740967035,-0.4517113008533043,1.062757748600708,0.08618896412109321,-0.19212976511708924,-0.6485350925607486,-0.23940887706946762,0.9395991740812407,-0.04750477753971599,-0.2599469796469539,0.0013352950710124008,0.18049337436763024,-0.05226591923248331,-0.005841694978706875,-0.013938102126573882,0.3131024599208307,-0.16744424521419238,-0.05299223806586137,-0.10634478089382397,0.05404434743323884,-0.03374532002882023,-0.06169031575356044,0.0298969855890417,0.032683207088562566,-0.04541364336660502,0.03186070328472778,0.0329037293520087,-0.005878492145135402,-0.013132552417202422,-0.029314352480895985,495.0,31.544933568400396,0.29090585525537005,48.60041152089147,12.041594578792296,0.044444444444444446,53
F628,0.4840534873933709,1.3304935867914627,0.5647393472652992,0.7385848472543054,3.063110471110299,7.238025428855256,9.426472519376619,10.826519003401671,21.948877459152154,-15.398691892789648,-20.955239363219654,-0.9989943924500972,-9.933970729280068,-0.04483529695743267,10.756889239985416,0.5254266540609179,-0.43370218132367183,-0.534283099656309,1.8848687771930979,0.11175630170175216,0.20566455503706602,-0.22258979865298986,0.14010802154834218,-0.2627395502008451,0.2608311301733047,0.00813185761290411,-0.1816053487222116,0.09512697714465947,-0.1811816330223208,-0.12780986898439367,0.06354569505767703,0.04958439726664825,-0.11508230881102119,-0.10866287803424848,0.06968367413257906,-0.020288152251259232,0.058279022250882995,-0.046655226594483214,-0.05084810733291058,-0.020937452742396067,0.03038562987515141,0.014988957529883185,-0.077382978262304,948.0,71.27819400690258,0.3973974621124804,124.55520864259351,11.0,0.07805907172995781,53
F604,0.654148930858225,2.1269942866565508,0.4387598675915459,0.9442909069061852,3.061247686946958,6.51292157153457,9.977074426616252,10.675487958032562,21.003672186161374,13.943813016104619,-22.031373651499646,-0.749268015029434,5.893041366450952,-0.6622668960878628,-3.959499337827055,-1.1209931830047326,1.5078172215935717,-1.2054820403789284,-1.1659331460129736,0.5899975555668009,0.56998769906481,-0.5010161928725805,-0.22806310682730432,0.3380084917393427,0.41713563569057366,-0.3088676351037046,0.1733143222085687,0.22811569859159148,-0.16300847232841972,-0.10188507373186037,0.09011056204471043,0.23178090534077575,-0.22108269459934873,0.02380994086416366,0.03605540107081789,0.009498039030323728,-0.13845451709260048,-0.011866218413312627,-0.0064280577655259855,-0.15363381178871124,-0.13373163824922488,-0.07590248096335621,-0.041871328318897005,518.0,60.06227557147307,0.46708301531828733,105.92922165295089,1.0,0.11196911196911197,53
F610,0.37333127465069327,2.5989704870892774,0.2527008013682568,0.6603322144762889,2.8483972930763977,5.955881252342278,8.79127713757678,9.275977490858548,18.311333539679392,12.256707186577827,-19.359981594187182,-0.9779938952926386,0.6411516566406906,0.20863350826348925,1.2308617463000366,-0.5742276379456316,0.8762152354617889,0.01181964273529177,-0.09897623797493096,-0.2393423692655635,0.3411494884206792,-0.11623836831253921,-0.2372956048504625,-0.05213552420530797,0.04457760242203036,-0.12225541628670845,-0.14626558792071798,0.050928012047240595,-0.058622869815265585,-0.06536269438177839,-0.024014641967925836,0.0839754744643195,-0.06633635229428687,-0.006767946112933444,0.04698502055819428,0.05041237312575171,-0.010873200112770228,0.023903294855089748,0.04392892537938351,0.011661093194024526,0.03426652358167457,0.018231092738671063,0.014338599243213514,579.0,37.65226186925179,0.31029800113788,64.25729530566937,1.0,0.09499136442141623,53
F638,0.4383804617574473,1.37903170278297,0.4804511206818438,0.693650575029268,3.003890990022538,7.0229439798553255,9.052608840101687,10.088224945783708,19.73530100635492,13.676870328950896,-19.921940079831263,-0.5428654467275085,4.131465016327846,0.839819687045584,-1.258076100574942,-1.0865486669480287,0.6967891290864054,-0.32969396286957847,-0.5146895367406542,0.1314059045125801,-0.023773606047172068,0.09320575726779584,-0.26928069909297925,0.1869008308488981,0.15474541306995931,-0.011444781573038423,0.15510223072547838,0.1416399081365672,0.017601733282393055,-0.08875431479683772,0.05651065161943646,0.017303906795521944,-0.0794543732808774,-0.005556653807187479,-0.02173822107129546,0.04565247183729527,-0.05689550079470165,0.05969987125780246,0.022517223194145716,-0.051515514209289445,-0.033729541460439945,0.004724289568702805,0.015986340180429093,636.0,52.32017043441851,0.33046007290698554,88.52683209061533,1.0,0.11320754716981132,53
F611,0.16813569329261543,5.508180255779612,0.12155478784505819,0.4871086556169429,2.5764387211562965,5.210155113611573,8.203484585847683,8.31286059742849,16.571062065489677,10.917983322202602,-18.50915308665299,0.07273307943651237,1.9302902009529719,0.9973514421484946,1.1345612889774987,0.16079059333363058,0.14422517344416508,-0.27568274234983237,0.008586572958876363,-0.5860266944929955,-0.30382763201291046,-0.4029502071559975,0.2859169886866561,-0.6431163809364145,0.23572594526839427,-0.09157477591271672,0.18177118819007523,-0.1456677907118182,0.2478275687681846,-0.01863945248399649,0.0006358936762953007,-0.035089277071251264,-0.030167265940242192,0.005546739778767118,-0.04016031743747698,-0.11897840066664936,-0.05333061684310257,0.03819979169713861,-0.06827131050599673,-0.07441838903650266,0.039590547363131647,0.00897746612526476,-0.06902692688962885,574.0,15.007440859793965,0.4613313732149827,31.622776601683793,1.0,0.13937282229965156,53
F605,0.4577365328513001,1.5716827495679422,0.43771248004051666,0.7119140391556905,2.99931591017162,6.744592534878813,9.065714707680268,9.864722020455929,19.34152952064244,13.270498768490105,-19.972060807782068,-0.9843809361558407,0.8542785685193763,0.17605161894441843,0.36248320424694663,-0.24947870238996728,0.3618437586647933,-0.1890329644226611,-0.12209610326177542,-0.012150665812220575,0.000961177580696448,-0.17695977571199192,-0.04190825000007696,-0.003136200585374395,-0.02737447293567655,-0.014072872004164325,-0.008878048749217443,0.025026763139512756,-0.011938425485564744,0.03434895320458,-0.004044168946594322,0.01624385786082637,0.015255598544555184,0.011201917591237872,0.0027438814911474206,-0.004326813464077476,0.0098297819610534,-0.0057639458618054485,0.009702253020868634,-0.006280372134314435,0.0027770322174773356,-0.006001845879446717,-0.0007554257689894232,758.0,49.375392926347445,0.45998539349153633,91.54780172128658,1.0,0.14775725593667546,53
F613,0.3528411089300516,1.918844855751904,0.30889765258893187,0.6101615010573672,2.89121616011858,6.266382353646037,8.742381686241112,9.52815222157402,18.692754287699945,12.69104478783458,-19.112604913658192,0.8516718801160953,2.6257585475369924,0.5240753844815795,-1.8748605633751336,-0.2702512811591749,1.493676723674778,-0.19007132642132438,-0.1404036854006153,-0.10157353198536874,0.205825559226803,-0.23648858691123298,-0.04946912605469519,0.06506802124971235,-0.1446812148778588,-0.0935399805997956,-0.029544163019819224,0.08080355947106084,-0.20143964100749712,0.03609313998315102,-0.008382983424478279,0.03487706567245796,-0.06756220630718125,0.06978787962652076,0.04279080271095404,-0.005631364801821581,0.017895969115533535,0.04176644166359777,0.032472496143249416,-0.051614601481338174,0.04902619049396207,-0.002414155114781583,-0.0014041880734746404,700.0,37.18677782523261,0.42149695750298005,71.55417527999327,1.0,0.12571428571428572,53
F607,0.4182823641923258,1.3033246430872865,0.5342016043299398,0.6932008310503962,3.0324130588400244,7.2385951938262325,9.335350028942196,10.551515179109108,20.495283980230376,14.171917666222784,-21.900196039172197,0.0004825763606872823,2.230234621787279,0.9999998835600213,-0.8942241982496305,-0.9577527555444951,1.016524393946442,-0.9703628479015937,0.07521843251480147,0.06164520032500398,0.08369495419940379,-0.14757067229300516,-0.39655909054714905,0.24785103358672508,0.1629730681107727,0.20102814283486414,0.14217113515095203,0.12124995257973566,-0.0691413900437656,-0.0279751954060506,0.10604043137718812,0.05366106583371239,-0.07238223722474361,-0.02308529270094309,-0.02281659553116705,-0.04989071685464098,-0.08303412115581464,-0.014585790295675624,-0.0423778078798241,-0.0002234987020493407,-0.02431319468887898,0.02923312258706409,0.002985164137544629,791.0,53.129711355195504,0.39800741611662493,91.21951545584969,1.0,0.018963337547408345,53
F606,0.5015639794790707,2.2191960197152523,0.35806932963493465,0.7762765077718755,2.979432532105714,6.316575077987873,9.361203854662909,10.110794697674688,19.84820526392829,13.270951227606172,20.941068249348998,0.9997672156962217,5.077076776489323,0.02157578316132586,-4.224653434856014,-0.3084108301321051,2.754187476376221,-0.7088982659938133,-0.4501036676056298,-0.3102068930233134,1.1186465551271358,-0.6274732011835646,0.21965293274443967,0.1417650408594587,-0.35367848602292135,-0.1037889354137862,-0.05227917340791624,0.4214099851273482,-0.4643835990223362,0.29027624162710614,-0.018502167267218032,-0.028090139177206774,-0.2508214146284659,0.13826058400043428,0.06663654400239202,-0.11226860090526444,-0.0213961564234048,0.004605790191188017,0.07480726126029102,-0.12875138004132447,0.09800218222302659,-0.060289391785202304,0.0244418621479995,550.0,53.47247170238681,0.31324706649055134,82.85529554590944,1.0,0.023636363636363636,53
