id,source,Area,Perimeter,Height,Width,Circularity,Aspect Ratio,Roundness,Solidity
muscaria_101783544,muscaria,21498.0,632.2152954766495,124.0,248.0,0.6758929634485568,2.2377495223116632,0.44202428332354227,0.9895967593445038
muscaria_103741813,muscaria,27176.0,1157.8925317304245,158.0,268.0,0.2547175637729548,1.6860817962411734,0.5755623771360666,0.8799663245151054
muscaria_126125413,muscaria,58766.0,944.6316010800756,265.0,313.0,0.8275820352460926,1.319450632503017,0.7444177261256558,0.9939953654369852
muscaria_132475210,muscaria,27770.0,686.7422074112307,146.0,260.0,0.7399429958061234,1.7843099673098912,0.5445225053837423,0.9941646081695485
muscaria_135216005,muscaria,19309.0,834.8315651863257,130.0,239.0,0.3481544283843799,2.3141256567927924,0.4100849160780483,0.8728020612032726
muscaria_140459959,muscaria,27735.0,1134.7148622007608,143.0,302.0,0.2706852230457583,2.4714964640719614,0.38845986613071465,0.8314596636388164
muscaria_140759375,muscaria,18367.0,657.0609665440988,90.0,283.0,0.5346096006035201,3.2809908246148174,0.29699490247386695,0.986836449602407
muscaria_15638560,muscaria,28574.0,843.8559518039652,161.0,238.0,0.504248097931773,1.565760672918505,0.6270975275124803,0.9555243445692884
muscaria_157975896,muscaria,30863.0,716.2569260369921,155.0,264.0,0.7559800482903396,1.589909663324146,0.6187962541174342,0.992028542959082
muscaria_164751608,muscaria,128641.0,1591.9717882377531,426.0,428.0,0.6378499664486432,1.0345373446488695,0.9661510236273462,0.9631196328434418
muscaria_16535658,muscaria,5518.0,366.46298679765215,78.0,101.0,0.5163347163500169,1.4234931179730983,0.6807597362186629,0.9270833333333334
muscaria_172179124,muscaria,46479.0,2417.104868614244,230.0,329.0,0.0999713722238928,1.3841788073724162,0.6796854400238206,0.8292565433816839
muscaria_181209142,muscaria,28904.0,1158.1585130146568,179.0,240.0,0.270789490426644,1.1849681849428282,0.8289165307405199,0.887197274317812
muscaria_183233813,muscaria,7159.0,422.3330444827409,107.0,103.0,0.5043733138254893,1.2416502467902193,0.7967993495905323,0.9110460677017053
muscaria_183438445,muscaria,41106.0,800.6000717874997,219.0,241.0,0.8059049670999548,1.0837993725420982,0.8925643513383482,0.9941231952405136
muscaria_187775489,muscaria,7019.0,387.43354954612926,93.0,105.0,0.5876119990850922,1.3393420111752359,0.7049283309923766,0.9114400727178289
muscaria_188832080,muscaria,10515.0,574.58787847868,91.0,173.0,0.4002268505015508,2.0608814913188676,0.4684604449287497,0.8919331580286708
muscaria_18947894,muscaria,30436.0,929.619407771256,162.0,269.0,0.4425752012722693,1.9855196724786708,0.5002998312305047,0.9631340780355052
muscaria_189822326,muscaria,43668.0,1535.0479066835019,273.0,249.0,0.23287844802625782,1.005482289852182,0.9514980092785112,0.8594709494567785
muscaria_190656697,muscaria,37869.0,817.4284989122459,173.0,296.0,0.7121871789804116,1.8254569028948577,0.5214864912463806,0.9922962031286848
muscaria_191206223,muscaria,41275.0,786.9676041556469,236.0,233.0,0.8374969542959824,1.1540838508744549,0.8470690389745094,0.9948180284405881
muscaria_191878173,muscaria,39458.0,958.9188309203678,118.0,403.0,0.5392389296969682,3.4385924251793862,0.2817016987624037,0.9930038252466278
muscaria_193738581,muscaria,20427.0,719.517856687341,137.0,204.0,0.49582828722992084,1.5185975840943904,0.6500417336152324,0.9554703213433743
muscaria_19784378,muscaria,29001.0,1391.006276123159,149.0,312.0,0.1883495809628791,2.5064701674425227,0.3662975864193266,0.8359323206410515
muscaria_242423358,muscaria,95827.0,1835.765727477093,344.0,411.0,0.35732486718808965,1.210091098495719,0.8196914144732318,0.9415666083675595
muscaria_244055867,muscaria,32763.0,716.1147904132612,173.0,243.0,0.8028385883616924,1.3988844598484527,0.6998053915459196,0.9923671058609723
muscaria_245895425,muscaria,57430.0,953.6955262170047,234.0,321.0,0.793467585112596,1.6098188440012458,0.61415907134753,0.9963048418715196
muscaria_246329501,muscaria,6087.0,339.3208511739212,86.0,117.0,0.6643425517454804,2.134645243314838,0.4504752114942972,0.9801932367149758
muscaria_25084680,muscaria,74594.0,1096.96359954229,292.0,334.0,0.7789854159137239,1.1469571924661228,0.870768465637937,0.986536528593345
muscaria_251755336,muscaria,29245.0,698.097546470558,210.0,209.0,0.754100565456721,1.8910772404318723,0.5220518383073457,0.9930727698733404
muscaria_252415553,muscaria,8419.0,506.1025971044414,69.0,177.0,0.4130410743586353,2.761662254163511,0.357869726909084,0.9088848105365432
muscaria_253224587,muscaria,60882.0,1122.9919907732863,216.0,438.0,0.6066601344872209,2.7981672515166274,0.35181932777718067,0.9927761924174481
muscaria_2623741,muscaria,19739.0,659.6467529817256,97.0,277.0,0.5700489538733143,2.9063667346768236,0.33313552994834317,0.9879873867560939
muscaria_27683036,muscaria,42573.0,1390.621499812309,237.0,364.0,0.2766471749711023,2.2245484108264195,0.39957249746391293,0.8383152173913043
muscaria_316848962,muscaria,36488.0,880.0214280248093,181.0,268.0,0.5920705084687038,1.4993622793681545,0.6651926630491204,0.9644235343870593
muscaria_34656771,muscaria,17520.0,1092.6143571373725,144.0,200.0,0.18442090972706993,1.3795216858415278,0.7056753569214111,0.8601305906033678
muscaria_40598053,muscaria,32716.0,758.7665940288701,150.0,309.0,0.7140911641694314,2.006557492872191,0.49469363674433103,0.9927175628110207
muscaria_4654892,muscaria,19760.0,1071.6143571373725,173.0,183.0,0.21623189643269247,1.2472017803186586,0.7768492707978472,0.8470870664894757
muscaria_61870862,muscaria,12543.0,434.49242404917493,104.0,146.0,0.8349238548613763,1.4246253528387032,0.6946351555685262,0.9893516327496451
muscaria_65021091,muscaria,13198.0,580.3340905032675,115.0,151.0,0.4924496373843261,1.3199730215609293,0.7522318365706364,0.9585996513654852
muscaria_65668592,muscaria,32815.0,967.2173875177025,159.0,273.0,0.440792384101861,1.703321765698648,0.5846148964715253,0.974432830502435
muscaria_68899629,muscaria,26893.0,1184.8813844421313,167.0,229.0,0.24071289891852835,1.4959106723155875,0.654114153989719,0.9136091860307107
muscaria_69056102,muscaria,21803.0,605.58787847868,160.0,194.0,0.7470880185217617,1.5826785321571226,0.6083863864182112,0.9928958513593515
muscaria_74211862,muscaria,26244.0,665.3767670841366,195.0,234.0,0.7449114124855316,1.4765730439167875,0.6423906719532427,0.9915369502795829
muscaria_75548552,muscaria,11442.0,512.6934341759517,62.0,223.0,0.5470112976771104,3.5561228667028133,0.27874884439681713,0.9917656236456618
muscaria_8072698,muscaria,10432.0,471.50461735799473,84.0,193.0,0.5896652601665872,2.6893991689232526,0.3597766558096823,0.9841509433962264
muscaria_88114059,muscaria,37586.0,1230.7859300126263,142.0,351.0,0.3117962787943165,2.6420724845343613,0.36933488086942395,0.9211577580079896
