id,imagej_0,imagej_1,imagej_2,imagej_3,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,efd_0,efd_1,efd_2,efd_3,efd_4,efd_5,efd_6,efd_7,efd_8,efd_9,efd_10,efd_11,efd_12,efd_13,efd_14,efd_15,efd_16,efd_17,efd_18,efd_19,efd_20,efd_21,efd_22,efd_23,efd_24,efd_25,efd_26,efd_27,efd_28,efd_29,efd_30,efd_31,skel_0,skel_1,skel_2,skel_3,skel_4,skel_5
bwhttps___arpoprodmediasto.blob.core.windows.net_mediacontainer_ce1d1a52-b142-4db7-834b-ac48011b7728,0.5572042396480634,1.9144149116205043,0.43861386378405565,0.8337785463922301,3.0430543352686192,6.572419712281615,9.546681254575484,10.030270632397576,19.81949021441184,13.31716589095632,-21.051814505668293,0.7899154547423202,-1.6078275149210546,-0.6132157649304473,1.0042120800039385,-0.40101505893790107,0.2587810182954315,0.30811785120295876,-0.26246712245068593,-0.3535816901084669,-0.035389131097533645,0.339294035717016,-0.04232308229547438,0.05314636372383308,-0.030142073712276247,0.02186261468383722,0.029906306710917676,0.0555060733624457,0.0003629748817518898,-0.05194642470074673,-0.00956727552906435,0.03319087560826363,-0.04763785494218124,-0.029385564570279285,0.023453185773717584,0.018557309895300397,0.010409174911155436,-0.023302542385599527,-0.0008356232418123306,-0.022201796195991677,0.0265323771476847,0.018147298555578884,-0.019004492717358313,480.0,53.832009025312466,0.47730713867970626,106.92988356862641,9.0,0.32916666666666666
bwFly-agaric-Amanita-muscaria-var-flavivolvata-FUN0332,0.37639050801181045,1.3415142095843307,0.47912580007541083,0.6834290477954799,2.994284805785132,7.076969160519869,9.11658836874152,10.264853925420928,19.955694211223662,13.805514906912308,21.585985329289127,0.10369716731964694,-8.007132164220867,0.994608916856209,4.943301375246836,0.10077035809153109,0.008568100332272913,0.885560001744686,-0.5807772225712631,-1.3460872998014117,1.2672120753453058,0.7010087208171242,-0.8089390320748202,0.6538431550552902,-0.3401110266387391,0.05301526307622513,0.08524337595463591,-0.1361267132059291,-0.40028876318197937,-0.1603776074170614,0.4324187931317008,0.003937354400630218,0.1496389010153591,-0.012389650214507709,-0.06849981125181528,-0.023101490046045652,0.03326394567439881,0.12302813315547129,0.019413569356227654,0.047339497389908856,-0.009212928400281348,-0.04725517985337678,-0.04275970310090791,731.0,54.00591478555849,0.2708408780794115,78.49203781276162,7.0,0.0
bwhttps___inaturalist-open-data.s3.amazonaws.com_photos_109269036_original.jpg_1609824868,0.3247219269972832,2.285439355747955,0.23830649225446135,0.5973358792507729,2.806809257249846,5.950360549027562,8.575046771417853,9.10207955721094,17.940644133061117,12.077261747504807,20.53417463929798,0.7926123515785337,-1.2507546210011635,-0.609725889334828,0.9927641967791382,0.14056368183348508,0.06327189338783869,-0.23578905523129884,0.12117208384097672,0.050606837681944614,-0.022289250768620338,-0.06422135229962599,0.03735767103609441,0.08313868723398773,-0.058314611045975906,-0.049033145811425566,0.07108484003179959,0.01682654431383837,-0.06870928438656204,-0.027226377041357733,0.055615716892349606,-0.014587968718644968,-0.03799271142033783,-0.008272101697388037,0.020478339506892342,-0.027311408666322232,0.01866329205988401,0.01568373559797223,-0.015214519498963292,-0.03010661492514518,0.012936836837104108,0.03607457958690763,0.0018913178063126373,521.0,36.09027035756742,0.25688315789708127,56.089214649520635,10.0,0.08253358925143954
bwhttp___pictures.snsb,0.45776030381540606,3.0638092964873658,0.2669580523425177,0.7818680009530617,2.88822943250602,5.962227289844145,10.718808813657251,11.583240040588493,22.741036111913843,14.583123892745927,-23.49067158330686,-0.9975385980960184,0.12233169160497889,-0.07011950733305485,0.002246738592092401,0.10262453192129796,0.2040849460034003,-0.022837493012951883,0.16554675358995918,0.0714196570049683,0.00432808423662929,0.07007785690194898,-0.027501406279446475,-0.01603983857890672,-0.04272513913942612,0.009723629948582125,-0.045648761849211864,-0.006650519405187055,-0.016950378129718835,-0.020374296103053587,0.007185318902744177,-0.006254627661251281,0.0097875409776784,-0.009171594185766982,0.010550874605351552,0.0009506560586361099,0.01826642936028704,0.0026794906136228223,-0.0017666063303253532,-0.002340557721574097,0.01139234018641906,0.007118678509010956,-0.006764517252619423,646.0,41.6338762398368,0.43036694746789894,71.69379331573968,1.0,0.1563467492260062
Amanita Muscaria Transected,0.21261070944041321,2.6013918543189214,0.24433168095004806,0.5469262638599516,2.833874678207758,5.926346772626504,10.10565688717513,11.179072768312821,-21.89312235088802,14.165369413476421,22.096958597807948,0.49397539504028326,0.9067236370473194,0.8694758818361761,-1.0435061002657056,0.03768843693462552,-0.953211934725118,0.04822263725790079,0.6527810701734624,-0.23543068118155935,-0.09792151205599492,0.27466449127004416,-0.3952227868812796,-0.15080801480233222,-0.2542307380306224,-0.16878578248103734,0.003745539780474453,-0.08668670282152914,-0.03364210376866363,0.09334011812525614,-0.05925043453319545,-0.06311512491165665,-0.005921998181089407,-0.0194210993913957,-0.0053273016505612615,0.017161456277174452,0.016895332196486843,-0.03404574521295115,0.02672946003844969,-0.012617542277019894,0.04790561755880118,0.06225216160944068,-0.0022261293252070265,1305.0,25.8234100144218,0.6426138327812612,66.57326790837296,1.0,0.23754789272030652
Psilocybe Subviscida,0.36766398295189934,1.4485907246865748,0.43009845632324656,0.6683593710087768,2.9700697296876406,6.840885677578273,9.04460664020704,10.158741207684837,19.82595394390025,14.357741644697247,-20.052488839007584,-0.1882378578380606,-0.9009894038896501,0.9821234692626676,-0.5484997769669994,0.3980795597560939,0.20322478112482129,0.17849775808422422,-0.11298734223022308,-0.1095416884391454,-0.0790415420001473,0.024113015641540392,-0.17322220028175206,-0.1762063667099851,0.022483470052329615,-0.018769126464447918,-0.06148484696449475,0.04000336177267681,0.007923300571716694,0.015212328980682822,0.0366884767136398,0.008068859319371922,-0.0037542655994530984,-0.011341105677125454,-0.020635891752108636,-0.008535058172966495,0.02956804675148418,-0.03935500048859611,-0.004292034757836183,0.012881967157271272,0.006247564671436296,-0.00018430686078800323,0.004165305786829332,673.0,48.797542317828835,0.3250885088740378,78.26237921249263,1.0,0.0950965824665676
bwhttps___inaturalist-open-data.s3.amazonaws.com_photos_109031348_original.jpg_1609624480,0.5064265687914307,1.7214655872099525,0.4909753203359568,0.814957948053875,3.0705336964848495,6.751175859244422,10.16175803042309,12.42061430658449,-24.650432769402766,-16.007575902260317,-23.714700397794175,-0.9394266477730824,2.1638933598476635,0.342750015979327,-2.296227949361773,-0.5957147993028333,0.08560454228015088,0.4025240928549213,0.03636574638048424,-0.0784355827074047,-0.14312699535515616,-0.037663376103383765,0.2003180432826042,-0.011662361137172813,0.011528503021422415,-0.012668122535990286,-0.032682460265556185,-0.09332428918628814,0.04906262762286462,0.06527436812822343,-0.06121276534135294,-0.0895050556263022,0.009905980296500614,0.03782241524707368,0.011547091525337439,-0.01263595329614342,0.010462195281792468,-0.02160458405763438,-0.01014005236134462,0.005528294515002566,0.024308802578053366,-0.02486370454301964,-0.021352400448614948,3782.0,58.91942872791269,0.5613054989195624,123.32072007574396,1.0,0.24431517715494447
bwfly-agaric,0.29151435943653353,1.2506100040531645,0.40826837474645433,0.5522723576846919,2.9020172611404433,7.119281865464292,8.728993856726506,9.81031953706549,19.080984825814486,13.371924893902596,20.246999764622394,-0.46249044270578443,-2.9308465695971395,0.8866242667589286,2.4400528970884126,-0.4741627397589392,-0.434804373619844,0.25618290297210156,0.41487357119015084,0.3235950146490862,0.39276044559490514,-0.09448724618684101,-0.24172166470194179,-0.007775707003078404,-0.040415854112470444,-0.049215305703728694,-0.04973332786205365,-0.012194412864494082,-0.00013282838192718544,-0.003960542793399988,0.03361197208033594,-0.1142163983495642,-0.047199021262280864,0.10348243564298282,0.06339882450882596,0.07806540085240084,-0.015798517798216945,-0.02918906549218729,0.013429210205249134,0.0025627463771705932,0.0005844777631454225,-0.03906870421171583,0.011625456835315087,815.0,38.01617194872049,0.3275182049972294,61.0,1.0,0.053987730061349694
bwhttp___fm-digital-assets.fieldmuseum.org_1487_338_NAMA2010-001_,0.28235268927660107,1.490572481652127,0.37772035701148055,0.6344615504388953,2.9215272048342804,6.685248532001918,9.177245344091968,11.423961292324835,-21.87477573083258,-15.350973950734142,-21.875383911742446,0.7724972176180187,-0.8744151836090542,0.6350181483803586,-0.3969908385934329,-0.17356720474889523,0.060333023328378456,-0.020524456540946066,0.030615777181645813,-0.016055546997310023,-0.0412529347582225,-0.05832143128884577,-0.09416991982188495,0.027402658422162184,0.04879995966942522,0.03125772478573968,-0.0006598696597150843,-0.006924357321501082,-0.00994011588313293,-0.008883624680085517,0.014542450740238305,0.01625450486135754,-0.00329311366729908,0.006135679580660506,-0.015068981526613293,-0.005241763359913125,-0.00027195449047424773,-0.006044494324430224,-0.0031995099934992183,0.002727813053932184,-0.011226256470986266,-0.009656383173778862,-0.018746089907007598,3078.0,34.706239186642804,0.5487718129087794,70.77428911688199,1.0,0.20110461338531513
bwfly-agaric_,0.5849679024891453,1.4644771421361584,0.577388208507399,0.8346401501651342,3.1010048545488997,7.079788018203611,9.786882010695447,10.495452713140002,20.638131795076262,14.03582118014585,21.716016972309017,0.7695976548714929,-1.7416660669346475,-0.6385291298102996,1.3017425327814582,-0.5219173581925753,0.35186821607354013,0.4841181206594048,-0.4061220120276642,-0.41636750571852604,0.02941786123656804,0.5025378104336169,-0.11841060483844576,0.04482306923324971,-0.05702368390235964,0.025495723243150845,0.02744092678179171,0.058883243873112334,-0.01914561920538809,-0.09091616271212141,-0.025735673148374556,0.021931487129761753,-0.052003468464067025,-0.03367186994890917,0.015148191663872655,0.024713772763138808,-0.0010091581832372522,-0.030431981315854603,0.01119642166335472,-0.0014047889837684041,0.04346156355839948,-0.0020328000716827634,-0.021375778847777794,889.0,58.841697685177174,0.512023525941616,116.61903789690601,1.0,0.3048368953880765
bw8695755407_944802f898_1,0.43580325437962747,1.7316662147060073,0.4339321478546244,0.7514355873376438,3.0181849040669158,6.638719210404624,9.707141937380307,11.603286940678787,-22.500873661523684,14.954131894926881,22.34466598208906,0.7826552482622996,0.3563529357803662,0.622455430024896,0.4702950765542646,0.04552018128059554,-0.23482042986753082,-0.026994194789010533,-0.20400529725418692,-0.0677093651741569,-0.02333103222338148,-0.06004923548099782,-0.01145427682293418,0.00775616451812239,-0.0338586781157027,0.019246905029475698,-0.05324728021641723,-0.03261542959471729,-0.04221828143318236,-0.020895506865715705,-0.04441417184549164,-0.0163285830452814,2.4503351452294983e-05,-0.0017945820407231636,-0.006349199778507922,0.0008762452807275776,-0.011695331217945058,0.005174135989788516,-0.0194377944303263,-0.010349315920045465,-0.007977256890319763,-0.007601223807149437,-0.0038401466358397706,2595.0,51.97944203629933,0.5807552667488953,107.20074626605917,1.0,0.2697495183044316
Amanita Muscaria,0.3285165186819376,2.107764989494031,0.2665314803033532,0.602437376787019,2.843330666423844,6.084494247304784,8.643041900373204,9.1390852028792,18.03107730609115,12.182562031683734,-19.215087004671496,0.016636659188338655,-0.442821265955872,0.9998616012084128,0.015501154275805049,-0.035072089623312534,0.25118737145113745,0.1520790178729831,-0.0003435054504518247,0.0017776977577620325,-0.1978482598836848,0.13890934199746047,0.009212789943746984,0.00475954851774885,-0.04898160376616807,-0.009599680046373881,-0.0007506945838610669,-0.0028139889148969723,0.020566953160113977,0.003228139560620287,-0.002290583550681388,0.0075895446002683985,-0.05925640066265054,0.038540670899603086,0.003683534900319367,0.0017589249276115802,-0.02766270244354953,-0.0034546640896461764,0.0007668266948634231,-0.0031199259894392497,0.008413862924801226,-0.000656347635109472,0.002092464561055233,453.0,40.64564362843175,0.33131274164286967,64.38167441127949,26.0,0.26269315673289184
bwamanita-muscaria-4703173_1280,0.5183909136387662,1.1117855537346588,0.7032844460881452,0.7705118174549269,3.0954382751875364,8.143775226461836,9.720122565216435,10.914883928375634,21.29010621815576,-15.038940218314758,21.548325416755873,-0.8975635752596063,-4.589932261763341,0.4408850511949721,3.3130714308009446,0.2420679097423126,0.7620897935547957,0.015214643337212293,-0.875009763542563,-0.23381853116431378,0.5888653656115723,0.10210904733352565,-0.7476450350565996,-0.02847823384528887,-0.21781968594396287,0.21490461663369245,0.1090062484640884,-0.14642730775896062,-0.18061795405686754,0.15543628135003193,0.2110320929594489,0.08250308373074684,0.09883636043781219,-0.06173308272729857,-0.0142526293284247,0.040239478323862814,-0.04539209628732827,-0.07268071191269006,0.004343859876696011,0.016121423422366048,-0.037274591372361894,-0.006526575885597298,0.0503596173043183,973.0,59.43600893504298,0.5123563113342752,114.5294721894762,1.0,0.2733812949640288
bwamanita-muscaria10,0.3921234215048989,1.2721177371372685,0.4956554874570792,0.6569868902698561,2.991967904132222,7.237593792719548,9.09311793439437,9.83772132800324,19.30354635234884,13.458110845945379,20.667782580741722,0.7757089038609258,-1.3827289243635423,0.6310908781394966,-0.9518601200007636,0.14304224546334154,-0.11643426442378142,0.2006891967204054,-0.015856255779236328,-0.1444478620643985,0.13142244833129782,-0.01978048056548659,0.04453122456757566,-0.00823633733209168,-0.030677304125378592,-0.03844142178277173,-0.03820704390846255,0.08188693343034252,-0.0006233845551179904,0.025887731379297296,-0.01983104746355971,-0.007556248801838473,-0.020523835214788875,0.032279623892699415,0.005229125864943136,-0.006877569920135609,0.000417564528515113,0.004179843077660831,-0.002439609049915013,0.0005210922027203772,-0.013770441564794005,-0.0023472026639200587,-0.012844320999055902,683.0,46.79098055540841,0.4325159906521528,82.0,3.0,0.3162518301610542
bwhttp___pictures.snsb.info_BSMwohlfcoll_web_M-0050_M-0050674_20020625_160814,0.3346007104256901,2.774543950021412,0.21374827221007642,0.6544268436435272,2.7826117713083134,5.792169256108181,8.786327612070277,9.197716757832236,18.192660230352757,12.094703401712565,-19.126787951538677,0.2936878784231399,-25.897345449270624,0.9559013704704659,4.992382318613375,2.3740831524284647,-1.1748933553116394,1.4222046895444178,4.138192438965426,-0.6856923761398362,-1.5369568103644977,0.42883572542591986,0.03381270708285888,-1.5057741097097679,-0.23964654620844394,0.6097028235969263,0.3812262048246674,-0.5495323394903032,0.5654613425615789,0.9152446634013891,-0.279971609603086,-0.1730479703385579,1.0306742781461349,0.2159778785344538,0.09605377973500395,0.7960038272826193,-0.4746447605986742,0.13297546289872722,-0.4043063360598418,0.07078673667786166,-0.22996334324490467,-0.25523820258684554,0.20292389685989556,448.0,37.50066040811146,0.3896771976799241,63.953107821277925,6.0,0.26339285714285715
bwLILamanita,0.27702604285333987,1.8553114285017225,0.24904511769735052,0.5345610923491825,2.79126551521148,6.10216791519065,8.425796250909872,9.149030301256062,17.944022423538325,12.207737762798923,18.668797589953087,0.8308642364270877,-2.2497408504816785,0.5564751752112869,-1.7374427785165192,-0.010687958955929907,-0.610195964339902,0.2823066128364837,-0.37468255228822145,0.12291064590735148,0.1858953224349874,0.15424826712987713,-0.14019297805164588,-0.040879715403727576,0.15838247198517375,0.017191435439073408,0.025042557117002057,-0.04924619461256156,-0.14345407433963012,-0.0005782863716526166,-0.022942204896071988,0.07571008077576263,-0.021997529903053512,0.019413542555294386,-0.04793092320761115,-0.028591206240699784,0.019003671194803954,0.004837364372752099,-0.018393509920998745,-0.037684340739747885,-0.028412609206436384,0.01385137618806131,0.009839597509353365,650.0,33.74300738262757,0.2738066432402388,51.86520991955976,4.0,0.015384615384615385
bw8695755407_944802f898,0.35983682501540115,1.2715414863207222,0.49195831587431244,0.6509873861666301,2.9885659421243136,7.232365111040279,9.081177146217257,9.985452782635491,19.525196485022448,13.632433154968853,-20.286288481683915,0.9881323350424674,-5.899221048305121,-0.15360497532150724,5.633132715523321,0.19611669581211766,-1.3336372990497787,0.013538033250108366,0.19502213123704815,-0.993056318712466,1.3817011732444757,0.735616411705965,-0.6508263545972891,0.25017925372751915,0.06953390937616429,0.0996958033669109,-0.06571969213139166,0.14409635199954995,-0.6295416058685895,-0.15448666465009034,0.30001946520952166,0.047513711696627485,0.23317282752194674,-0.16354486798510837,0.07621887318556722,-0.07704871655341464,0.019030639306506433,0.04004785432236892,-0.031442191374647856,-0.036551370964488794,-0.0352239554519735,0.05506277241263349,-0.0964165521687993,683.0,48.219653943006605,0.3844046098201407,80.49844718999243,2.0,0.2635431918008785
bwhttp___sweetgum.nybg.org_images3_126_885_f-196,0.4799329057982713,2.514441407898698,0.3040802016801046,0.7870895435004432,2.9249668549572116,6.127024892669385,9.22860142827232,9.634713709067523,19.066717909014063,12.69848281491986,20.464987854822414,-0.9899778347827087,-5.578052991102144,-0.14122282619654677,-2.3438406036054644,0.7869002017207328,0.5234080742618019,0.10913593334696398,0.2125455712834069,0.47882332630948304,0.5417009341490986,0.5465559193673053,0.6807909997703384,0.30523307473253075,0.0828526689709518,0.2665641313916739,0.15709039033725802,-0.08267210741609371,-0.2734878013080844,0.011307054486220495,-0.1546854771783589,-0.06861782482862694,-0.12392060814054032,-0.11368145815378645,-0.16019504154777647,-0.022116755427521343,0.015693022823515052,-0.03259507958367205,-0.013590379863509252,0.04106808447397842,0.034868329267986956,-5.9444023912046566e-05,0.05985398405216822,473.0,47.56938392121572,0.4653799956941735,93.29523031752481,6.0,0.2219873150105708
bwimages (2)_,0.4863017212657954,2.1002952400254298,0.37995658515220415,0.7927789615786757,2.9967479126087806,6.394264857634481,9.553728905224828,10.295021715568337,20.22692140791952,13.508260425498252,20.953290094607915,-0.8109018960811115,-0.6998176012630705,-0.58518212116576,-0.8381474353208741,-0.13585380126515115,-0.12225247952666096,-0.20153842010651468,-0.1981959021094464,-0.022465116509359086,-0.11322570335090067,-0.06576452976445639,-0.0945221882204966,0.0046415434594353645,-0.02470012725120031,-0.01581608613106533,-0.04013466864533591,0.022295584749033957,-0.03483963908072575,-0.0007222495326692042,-0.034063275653617386,0.00015867001736989645,0.02438910222310034,-0.00272258585157617,0.004559485805291567,0.01943221024190253,2.937717395055136e-05,0.016845642607517895,-0.0006106316182290037,-0.0036631264661451256,-0.0017756424634265276,0.011568182217772229,-0.006693949424927424,665.0,50.27008860699123,0.38870789444242854,83.21658488546619,4.0,0.004511278195488722
bw8695755407_944802f898_,0.587225427254936,1.1756483980066101,0.6866802252802454,0.8196762959277647,3.1060905473255853,7.801653187510869,9.607158319263787,10.647007749340766,20.7749203924228,14.548151526045485,-21.983445944014242,-0.9387360234569114,-0.6340075554036158,0.34463702393141843,0.35806000426273366,0.26966720790917337,-0.03678093528522672,-0.08520025522348604,-0.011314818182287243,-0.010405859899099534,0.1169386686991052,-0.06046528668867295,-0.05255765329412358,0.028962419310578618,0.03317167408288449,-0.07145479626959865,-0.026383708291598033,-0.031655439679896785,0.016263279716801433,0.004039382879718161,-0.012511316561163091,-0.008335973957895603,0.013266561507611047,0.014202978525308264,-0.01953783850372277,-0.032893196486367016,0.033544117449779025,0.027125343155227705,-0.023563713358979794,-0.01706403664298902,-0.0008227315844278744,0.007782306710500115,-0.01140180712640792,545.0,74.46460405595596,0.3968899650378908,120.34118164618461,11.0,0.007339449541284404
bwhttp___pictures.snsb.info_BSMwohlfcoll_web_M-0050_M-0050676_20020625_161348,0.2766863770998366,2.605944499989314,0.20797990430956978,0.5570779868044239,2.7641115074216454,5.785904344489254,8.550246377265855,8.925931815665752,17.66896455745282,11.834117201602002,18.487841550597054,-0.8479911616184453,-38.41290952007142,0.5300103676504825,-25.246445776505492,-8.493367818902971,-4.700178513709379,-2.167694887325961,-4.344099337692531,2.3206185576887877,-1.661458374329141,-1.2681180782969486,-0.5622199009799973,3.4463150726896696,2.0882405017759322,1.173519209608992,0.7338970809123544,-0.33388818363663464,1.8021528237036062,0.6969802586542734,1.2258106943351577,-1.7481715316022615,0.027732550819114066,-0.30667406048363965,0.6469979240617355,-0.18464040574649207,-1.0598776582994087,-0.3247093608913012,0.06371513157080813,0.9370306501599254,0.11762197370493159,0.10500848889083543,-0.029564594775665694,604.0,29.341149427446286,0.4867573380920422,57.87054518492115,1.0,0.3079470198675497
