Area,Perimeter,Height,Width,Circularity,Aspect Ratio,Roundness,Solidity,source,id
30107.0,994.7838379715732,400.0,125.0,0.38231373877620983,4.538129875341705,0.19989010399714238,0.7553186151530357,axe,109
39501.0,1030.5828278447966,400.0,172.0,0.4673606577648655,3.4286552176045046,0.2544785238570652,0.847370001716149,axe,110
48635.0,1123.269119345812,400.0,220.0,0.4843855123268379,2.7035585709738426,0.3085243123315215,0.7934708128038633,axe,2 fig 76
60798.0,1105.0924958366747,399.0,242.0,0.6256074291819649,2.155823012872162,0.41743652277830534,0.8708069552264459,axe,2
105360.0,1297.9625535217633,400.0,345.0,0.785889162147888,1.3063188060133493,0.7416279849918379,0.9840842860345214,axe,21
50190.0,1097.7127701597078,397.0,215.0,0.5234191725619857,2.691644429074869,0.3139545533604493,0.8268669994563337,axe,25
64569.0,1173.2173875177025,399.0,293.0,0.5894906796287543,1.8076299686339927,0.4665505859701187,0.8673849088539918,axe,28
51394.0,1135.636651713959,399.0,254.0,0.5007759725566123,2.291986965723543,0.34462234820330157,0.7969050424858897,axe,36
50180.0,1104.5828278447966,400.0,221.0,0.5168255154540768,2.547721663665234,0.32110891881082076,0.8121843843066165,axe,362
47934.0,1113.4873734152918,398.0,208.0,0.4858284487561076,2.8431965942429867,0.3064243740713526,0.8151763545457638,axe,370
44060.0,1117.1097397793778,400.0,236.0,0.44367267301742375,2.4973902986728604,0.2992230736517244,0.7520054616828811,axe,42
50417.0,1131.2762620207482,400.0,254.0,0.49505051365177105,2.1026699863294316,0.3562772482616381,0.7460232905698347,axe,426
46052.0,1094.98484809835,398.0,213.0,0.482660924832468,2.874432161382318,0.3020046259866827,0.8202187154917536,axe,77
44959.0,1101.126983722081,400.0,211.0,0.46596328261032705,3.151214619343913,0.2730902880122036,0.7620944502830796,axe,81
39428.0,1095.4112549695428,400.0,218.0,0.41291457634396117,3.0069759967821295,0.2459959593206263,0.6963740087249863,axe,83
44696.0,1155.8792924010784,398.0,253.0,0.4203911410895894,2.534915545174609,0.28212758079492295,0.6779311390869104,axe,85
44251.0,1080.3229432149742,399.0,224.0,0.47645924101690335,2.5950441562146236,0.3028856254174512,0.7675269712422382,axe,87
40666.0,1166.6660889654818,400.0,236.0,0.3754465960363636,2.982201046626708,0.23827467490871176,0.644009818671312,axe,89
48761.0,1127.2518754031087,400.0,245.0,0.4822147990454299,2.273165910184155,0.32790641087135397,0.745375890427711,axe,90
47526.0,1125.4528855298854,400.0,240.0,0.4715052032562729,2.488032549850008,0.30608728000518765,0.7496096276083973,axe,91
54516.0,1161.8376618407356,400.0,260.0,0.5075080626721671,2.1796797743948404,0.365839448146029,0.7740671323905265,axe,93
46693.0,1161.8792924010781,400.0,250.0,0.4346499349017761,2.6309681155563065,0.29135654194397986,0.7039605602376034,axe,94
44777.0,1103.5290039756342,399.0,196.0,0.46205891367160185,3.163984776856291,0.2758201875446394,0.7942423328662398,axe,96
43460.0,1073.511760032931,400.0,207.0,0.4738991974832213,2.9553328987605854,0.27484017606893285,0.768129518019053,axe,97
44726.0,1181.636651713959,400.0,251.0,0.40253348825668256,2.6704161183289825,0.27689662829230743,0.6788289040326619,axe,Ca29
42585.0,1156.126983722081,398.0,242.0,0.4003643878718915,2.6900414893686646,0.2672513630146916,0.6923151956560615,axe,Ca43
46670.0,1117.1858582251266,400.0,203.0,0.46989065249692724,3.0594405984868502,0.28527309099937853,0.7939235166031573,axe,Ca5
48829.0,1179.6955262170047,400.0,255.0,0.44090784815601197,2.5665344218286115,0.30830799372346934,0.7350997365449755,axe,Ca7
60918.0,1107.6782822743016,400.0,243.0,0.6239190111406641,2.15017067734445,0.418901578157173,0.8699091791854686,axe,Clipboard
47598.0,1137.9554108468274,400.0,219.0,0.4619001234534037,2.741519476028223,0.3035858189519935,0.7749340627136857,axe,Hb8
62524.0,1185.3767670841366,400.0,285.0,0.5591699142638284,1.8955091795913404,0.4376678482577602,0.8344321366608835,axe,Killaha1
64311.0,1193.56053326821,400.0,294.0,0.567291435584913,1.787770774788583,0.47244876727023744,0.8634898896318376,axe,Killaha2
57934.0,1172.364573775317,400.0,273.0,0.5296854042551011,2.035652455913851,0.39650911394807936,0.8156157170812743,axe,Killaha3
71809.0,1203.3767670841366,400.0,296.0,0.6231398103189247,1.6449509658168127,0.5364695158672368,0.9314352422336079,axe,Killaha4
54246.0,1283.920922961421,400.0,278.0,0.4135242961972135,2.239625483523387,0.3567956848604624,0.7542127801568322,axe,Le1-2
45426.0,1157.3940110268397,398.0,256.0,0.42613960508121185,2.4833555685917714,0.29091125008849417,0.6863385005892485,axe,NF27
48186.0,1224.749350086167,400.0,244.0,0.40367913723120435,2.450210194350875,0.3147686805109971,0.7385846323630846,axe,NF40
45560.0,1138.097546470558,400.0,234.0,0.44201255496176706,2.6635952704881105,0.2835962832778497,0.7280397577462088,axe,Sx5
52539.0,1119.1513703397204,400.0,232.0,0.5271254742872369,2.4281430690767,0.33751882825205903,0.8116638343890005,axe,UP40
53342.0,1106.0386719675123,400.0,230.0,0.5479469765413567,2.268767416325152,0.3784733447022045,0.8564043284205118,axe,Wi8
45352.0,1129.8549057834389,400.0,229.0,0.4464377973449726,2.8913943391519497,0.2763828438614476,0.7349214065791606,axe,so31
45676.0,1643.0712472806147,400.0,291.0,0.21261070944041321,2.6013918543189214,0.24433168095004806,0.5469262638599516,mushroom,Amanita Muscaria Transected
43699.0,1292.891485709898,397.0,278.0,0.3285165186819376,2.107764989494031,0.2665314803033532,0.602437376787019,mushroom,Amanita Muscaria
65413.0,1495.241774135342,395.0,411.0,0.36766398295189934,1.4485907246865748,0.43009845632324656,0.6683593710087768,mushroom,Psilocybe Subviscida
65337.0,1510.5382386916237,400.0,397.0,0.35983682501540115,1.2715414863207222,0.49195831587431244,0.6509873861666301,mushroom,bw8695755407_944802f898
77434.0,1287.2661607529815,400.0,369.0,0.587225427254936,1.1756483980066101,0.6866802252802454,0.8196762959277647,mushroom,bw8695755407_944802f898_
118427.0,1847.9280656363574,400.0,641.0,0.43580325437962747,1.7316662147060073,0.4339321478546244,0.7514355873376438,mushroom,bw8695755407_944802f898_1
73783.0,1569.508801440101,400.0,397.0,0.37639050801181045,1.3415142095843307,0.47912580007541083,0.6834290477954799,mushroom,bwFly-agaric-Amanita-muscaria-var-flavivolvata-FUN0332
44004.0,1412.8326112068523,400.0,328.0,0.27702604285333987,1.8553114285017225,0.24904511769735052,0.5345610923491825,mushroom,bwLILamanita
89619.0,1473.9280656363574,400.0,446.0,0.5183909136387662,1.1117855537346588,0.7032844460881452,0.7705118174549269,mushroom,bwamanita-muscaria-4703173_1280
61741.0,1406.6316010800756,400.0,368.0,0.3921234215048989,1.2721177371372685,0.4956554874570792,0.6569868902698561,mushroom,bwamanita-muscaria10
57734.0,1577.5777772109132,400.0,430.0,0.29151435943653353,1.2506100040531645,0.40826837474645433,0.5522723576846919,mushroom,bwfly-agaric
70255.0,1228.5067093990478,400.0,297.0,0.5849679024891453,1.4644771421361584,0.577388208507399,0.8346401501651342,mushroom,bwfly-agaric_
97794.0,2086.2438661763954,400.0,635.0,0.28235268927660107,1.490572481652127,0.37772035701148055,0.6344615504388953,mushroom,bwhttp___fm-digital-assets.fieldmuseum.org_1487_338_NAMA2010-001_
